file,license,duration_s,rate_hz,channels,bitrate_kbps,peak_db,rms_db,lufs,lra_lu,low_db,mid_db,high_db,crest,peak_count,dc_offset,fingerprint,suggested_tags,character,intensity,distance,tone,modulation,status,notes
field/birds-01.wav,pending,30.0,44100,1,705,-1.471376,-22.961058,-20.9,4.9,-32.170129,-27.700586,-25.60965,11.870912,2.0,-1e-06,3039d08af43b,bright;varied,,,,,,integrated,
field/birds-02.wav,CC0,30.0,44100,1,705,-5.262355,-28.542456,-23.2,5.4,-48.620354,-31.438121,-31.767025,14.588313,2.0,-4e-06,e48d6f48e8d1,bright;varied,,,,,,integrated,
field/cicada-01.wav,CC BY-SA 3.0,5.5,44100,1,705,-10.888786,-22.08207,-18.8,0.3,-41.923952,-37.794305,-22.248814,3.627974,3.0,-2.6e-05,77818270cfbc,bright;steady,,,,,,integrated,
field/cricket-01.wav,CC BY-SA 3.0,6.4,44100,1,705,-7.817997,-21.462113,-18.1,0.7,-72.131652,-37.074692,-21.584388,4.810673,2.0,-8.4e-05,33f76bec39c2,bright;steady,,,,,,integrated,
field/dog-01.wav,CC0; CC BY 4.0; Public Domain (mix),24.4,44100,1,705,0.0,-21.460801,-20.5,4.1,-40.20145,-21.850853,-32.882965,11.831506,3.0,7.2e-05,9b389137b23c,dark;varied,,,,,,integrated,
field/rooster-01.wav,CC0; CC BY-SA 4.0 (mix),36.7,44100,1,705,-2.640326,-23.554742,-20.2,11.3,-43.399242,-25.303571,-28.498456,11.110172,2.0,-0.000212,53cd316f1dc5,bright;gusty,,,,,,integrated,
mountain/hawk-01.wav,CC0; Public Domain (mix),10.0,44100,1,705,-5.567415,-21.056689,-19.2,3.2,-31.187941,-25.273454,-23.868079,5.949271,2.0,-0.000109,87cebf82a70d,bright;varied,,,,,,integrated,
mountain/wind-01.wav,CC BY-SA 4.0,13.5,44100,1,705,-5.762829,-21.993381,-20.8,4.5,-37.857582,-23.656489,-27.348023,6.479293,2.0,8e-06,0101d0b0af27,bright;varied;wind,,,,,,integrated,
sea/seagull-01.wav,CC0; CC BY-SA 3.0; Public Domain (mix),38.9,44100,1,705,-1.901036,-24.093468,-20.6,19.9,-35.565293,-26.111037,-29.327522,12.871276,2.0,-0.000365,af3ca3575487,bright;gusty,,,,,,integrated,
sea/waves-01.wav,CC BY-SA 3.0,13.5,44100,1,705,-4.7979,-21.952316,-24.7,2.8,-22.919344,-30.481543,-34.264744,7.20644,2.0,-0.000486,2df5832337bd,bright;steady,,,,,,integrated,
sea/waves-02.wav,CC0,28.5,44100,1,705,-5.342401,-23.734654,-23.1,7.5,-33.132474,-25.362089,-30.796308,8.310223,2.0,-0.00793,00c9f91e0f98,bright;gusty,,,,,,integrated,
sea/waves-03.wav,CC0,28.5,44100,1,705,-4.106343,-22.574267,-22.4,8.0,-31.391875,-23.887086,-31.476907,8.382937,2.0,-6.7e-05,6fe998194390,dark;gusty,,,,,,integrated,
sea/waves-04.wav,CC0,28.5,44100,1,705,-6.214941,-21.732195,-23.0,4.2,-24.654056,-24.915264,-42.491539,5.968466,2.0,1e-06,2ebf5a55ef0d,dark;varied,,,,,,integrated,
sky/wind-altitude-01.wav,pending,28.5,44100,1,705,-9.372589,-22.10163,-23.2,0.8,-28.159785,-23.356639,-48.449399,4.329642,2.0,3.2e-05,c8253c97da84,dark;steady;wind,,,,,,integrated,
synth/rain-far-01.wav,Apache-2.0,28.5,44100,1,705,-10.477124,-24.748563,-23.6,2.9,-30.762477,-28.84012,-29.200637,5.170969,2.0,-0.0,c8a08889f730,bright;far;rain;steady,,,,,,integrated,
synth/rain-glass-01.wav,Apache-2.0,28.5,44100,1,705,-7.412892,-26.344329,-23.2,2.3,-69.292465,-36.44993,-26.794323,8.842434,2.0,0.0,c8c6011b6762,bright;rain;steady,,,,,,integrated,
synth/rain-heavy-01.wav,Apache-2.0,28.5,44100,1,705,-6.52005,-25.685591,-23.2,1.8,-37.563982,-31.496478,-27.41357,9.083998,2.0,-0.0,f403356c72b9,bright;rain;steady,,,,,,integrated,
synth/rain-light-01.wav,Apache-2.0,28.5,44100,1,705,-4.030124,-26.236991,-23.3,2.2,-61.405455,-33.77175,-27.086032,12.892683,2.0,-0.0,84d62dd2e5f3,bright;rain;steady,,,,,,integrated,
synth/rain-medium-01.wav,Apache-2.0,28.5,44100,1,705,-7.030605,-25.998924,-23.2,2.1,-44.435311,-32.514892,-27.181176,8.880061,2.0,0.0,0bb67fde4cb2,bright;rain;steady,,,,,,integrated,
synth/rain-near-01.wav,Apache-2.0,28.5,44100,1,705,-6.87713,-26.176977,-23.3,2.1,-48.657918,-33.043799,-27.21336,9.225552,2.0,0.0,23499afc84a3,bright;rain;steady,,,,,,integrated,
synth/waves-calm-01.wav,Apache-2.0,28.5,44100,1,705,-6.335592,-23.667457,-23.8,6.9,-27.171481,-27.945921,-31.128448,7.355179,2.0,0.0,bf28463e402b,bright;gusty,,,,,,integrated,
synth/waves-surf-01.wav,Apache-2.0,28.5,44100,1,705,-8.758469,-24.443674,-23.3,9.6,-29.03685,-30.403674,-28.441696,6.084996,2.0,-3e-06,43a6fd4eb780,bright;gusty,,,,,,integrated,
synth/wind-breeze-01.wav,Apache-2.0,38.5,44100,1,705,-7.212953,-21.475006,-23.4,6.7,-22.905486,-27.010663,-55.726438,5.165384,2.0,-0.0,d0e0f0a4fe63,dark;gusty;wind,,,,,,integrated,
synth/wind-gale-01.wav,Apache-2.0,38.5,44100,1,705,-6.980723,-21.728275,-23.5,4.1,-23.693394,-26.202522,-43.741968,5.462326,2.0,0.0,b73a33fb73e1,dark;varied;wind,,,,,,integrated,
synth/wind-gusts-01.wav,Apache-2.0,38.5,44100,1,705,-5.964321,-21.495068,-22.9,1.1,-24.445904,-24.675607,-40.863812,5.977745,2.0,0.0,317bbdefe698,dark;steady;wind,,,,,,integrated,
synth/wind-medium-01.wav,Apache-2.0,38.5,44100,1,705,-6.081516,-21.83225,-23.1,6.9,-25.012337,-24.85595,-38.844267,6.131076,2.0,0.0,28fc33afd12b,dark;gusty;wind,,,,,,integrated,
weather/rain-01.wav,CC0; Public Domain,13.5,44100,1,705,-2.401507,-21.937181,-20.4,1.0,-38.637025,-24.064816,-26.312377,9.479463,2.0,-8.8e-05,00f4199f2ebe,bright;rain;steady,,,,,,integrated,
weather/rain-02.wav,CC0,28.5,44100,1,705,-1.995247,-22.621612,-23.5,1.2,-26.005253,-26.982076,-30.215737,10.747767,2.0,-0.000389,ca81d9e53875,bright;rain;steady,,,,,,integrated,
weather/rain-03.wav,CC0,28.5,44100,1,705,-2.184404,-21.084289,-21.8,7.1,-23.258868,-26.761622,-30.197005,8.810372,2.0,0.000161,4c6ae7695555,bright;gusty;rain,,,,,,integrated,
weather/rain-04.wav,CC0,28.5,44100,1,705,-2.435124,-24.914094,-25.6,8.4,-27.488248,-29.158453,-36.472068,13.302967,2.0,-1.7e-05,880212a7aaa6,dark;gusty;rain,,,,,,integrated,
weather/thunder-01.wav,CC BY-SA 3.0,15.5,44100,1,705,-5.587062,-22.011013,-23.6,7.5,-23.414753,-27.63693,-49.687587,6.625178,2.0,-3e-05,fe5c798060b9,dark;gusty,,,,,,integrated,
weather/thunder-06.wav,CC0,17.3,44100,1,705,-2.002254,-28.852986,-26.7,23.2,-33.455817,-30.775756,-48.71854,22.005773,2.0,-0.000646,a25af1b88329,dark;gusty,,,,,,integrated,
weather/thunder-07.wav,CC0,29.6,44100,1,705,-2.254223,-24.090066,-27.4,13.2,-24.499202,-34.591115,-60.306923,12.353561,2.0,-1.7e-05,b7f125b1f361,dark;gusty,,,,,,integrated,
weather/wind-01.wav,CC BY-SA 4.0,13.5,44100,1,705,-8.053283,-21.911984,-25.5,2.8,-23.601078,-27.078821,-39.552471,4.931001,2.0,0.000613,9f3c6370e139,dark;steady;wind,,,,,,integrated,
